issue_id,timestamp,category,description,municipality,district,state,age_group,gender,origin,description_length,description_words,has_verkehr_keywords,has_bildung_keywords,has_umwelt_keywords,has_gesundheit_keywords,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon
ISS_20250613034212_1585,2023-10-13 08:03:00,Bildung,Die Computerausstattung an unserer Berufsschule ist völlig veraltet - die PCs sind mindestens 10 Jahre alt und stürzen ständig ab. Wie sollen wir uns so auf die Digitalisierung vorbereiten? Das ist ein Witz für unsere Zukunft!,Wilsdruff,Stadt,Sachsen,18-24,female,citizen,226,36,False,True,False,False,8,4,13,41,10,4,False,True,True,False
ISS_20250613033919_8537,2024-10-01 10:18:00,Verkehr,"Die Schlaglöcher in der Dorfstraße sind nach dem Winter so tief geworden, dass man kaum noch durchfahren kann. Mein Auto hat schon Schäden am Fahrwerk und andere Anwohner haben das gleiche Problem - wann wird endlich repariert?",Krembz,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,227,37,True,False,False,False,10,1,1,40,10,4,False,True,True,False
ISS_20250613034007_4010,2024-04-28 03:08:00,Umwelt,"Die Mülltonnen an der Bushaltestelle Dorfstraße quellen seit einer Woche über und der Gestank ist unerträglich. Außerdem liegt überall Abfall rum, weil die Leute ihren Müll einfach daneben stellen wenn die Tonnen voll sind.",Selmsdorf,Gemeinde,Mecklenburg-Vorpommern,35-44,male,citizen,223,34,True,False,True,False,3,6,28,17,4,2,True,False,False,False
ISS_20250613034036_3907,2024-06-26 17:58:00,Bildung,"In der Oberschule Nuthe-Urstromtal fällt seit Monaten regelmäßig der Physikunterricht aus, weil kein Fachlehrer da ist. Mein Sohn verpasst dadurch wichtigen Lernstoff für seinen Abschluss nächstes Jahr.",Nuthe-Urstromtal,Gemeinde,Brandenburg,45-54,male,citizen,202,27,False,True,False,False,17,2,26,26,6,2,False,True,False,True
ISS_20250613034211_9551,2023-03-03 20:51:00,Verkehr,"Die Geschwindigkeitsbegrenzung von 30 km/h in der Ortsdurchfahrt wird ständig missachtet, besonders von LKW-Fahrern. Als Rentner mit Rollator fühle ich mich beim Überqueren der Straße sehr unsicher und bitte um regelmäßige Geschwindigkeitskontrollen.",Bakum,Gemeinde,Niedersachsen,65+,male,citizen,250,32,True,False,False,False,20,4,3,9,3,1,False,False,False,False
ISS_20250613033811_6649,2025-01-12 10:56:00,Gesundheit,"Die Wartezeit für einen Termin beim Hausarzt in Bad Schussenried beträgt mittlerweile über vier Wochen. Als berufstätige Mutter ist es unmöglich, spontan einen Arzt zu finden, wenn mein Kind krank wird - das kann so nicht weitergehen.",Bad Schussenried,Stadt,Baden-Württemberg,35-44,female,citizen,234,37,False,False,False,True,10,6,12,2,1,1,True,True,True,False
ISS_20250613034013_7916,2023-09-21 07:50:00,Wirtschaft,"Die kleinen Geschäfte in unserem Ortszentrum stehen alle leer, weil die Mieten zu hoch sind und keine Unterstützung von der Gemeinde kommt. Unsere Dorfmitte stirbt aus und wir müssen für alles nach Strausberg fahren.",Rehfelde,Gemeinde,Brandenburg,45-54,female,citizen,216,34,False,False,False,False,7,3,21,38,9,3,False,False,True,False
ISS_20250613033958_5180,2023-04-13 22:48:00,Sicherheit,Der Fußweg vom Bahnhof zur Innenstadt ist abends völlig unbeleuchtet und macht mir als junge Frau richtig Angst. Könnten Sie bitte endlich die kaputten Straßenlaternen reparieren oder neue aufstellen?,Utecht,Gemeinde,Mecklenburg-Vorpommern,18-24,female,citizen,200,29,True,False,False,False,22,3,13,15,4,2,False,False,False,False
ISS_20250613034234_7222,2024-08-10 10:08:00,Verkehr,"Die Baustelle an der B515 Richtung Iserlohn dauert jetzt schon über drei Monate und es passiert nichts. Jeden Morgen stehe ich eine halbe Stunde im Stau, weil die Umleitung völlig überlastet ist. Wann wird das endlich fertig?",Menden (Sauerland),Stadt,Nordrhein-Westfalen,45-54,male,citizen,225,37,True,False,False,False,10,5,10,32,8,3,True,True,True,False
ISS_20250613033814_4686,2023-12-29 06:50:00,Umwelt,Die Grünabfälle am Waldrand hinter der Wohnstraße werden seit Monaten nicht abgeholt und beginnen zu verwesen. Der Gestank ist unerträglich und es sammeln sich Ungeziefer und Ratten dort. Bitte um schnelle Beseitigung durch die Stadtreinigung.,Kleve,Stadt,Nordrhein-Westfalen,55-64,male,citizen,243,35,True,False,True,False,6,4,29,52,12,4,False,False,True,False
ISS_20250613034037_4564,2023-08-25 01:29:00,Migration,Das Ausländeramt in Straubing hat völlig überlastete Termine - ich warte seit drei Monaten auf einen Termin für meinen Aufenthaltstitel und kann deshalb nicht arbeiten. Bitte mehr Personal einstellen oder Online-Services ausbauen.,Laberweinting,Gemeinde,Bayern,35-44,male,migrant_eu,230,32,False,False,False,False,1,4,25,34,8,3,False,False,False,False
ISS_20250613034258_6546,2023-12-13 13:40:00,Sicherheit,Die Beleuchtung am Fußweg entlang der Oder zwischen Ziegeleipark und Innenstadt ist seit Monaten kaputt. Abends ist es dort stockdunkel und als Pendler fühle ich mich sehr unsicher - könnte da bitte jemand die Laternen reparieren?,Frankfurt (Oder),Stadt,Brandenburg,35-44,male,citizen,230,36,False,False,False,False,13,2,13,50,12,4,False,True,False,True
ISS_20250613033800_7592,2024-07-21 18:29:00,Digitalisierung,Das Online-Portal der Stadt ist seit drei Wochen nicht erreichbar und ich kann meinen Antrag für den neuen Personalausweis nicht einreichen. Die Hotline ist ständig besetzt und niemand hilft mir weiter.,Trebbin,Stadt,Brandenburg,35-44,male,citizen,202,31,False,False,False,False,18,6,21,29,7,3,True,False,False,True
ISS_20250613034020_5665,2024-04-27 01:22:00,Verkehr,Die Baustelle in der Poststraße dauert schon drei Monate und es gibt keine Umleitung - jeden Morgen stehe ich im Stau und komme zu spät zur Arbeit. Wann ist das endlich fertig?,Soltau,Stadt,Niedersachsen,35-44,female,citizen,176,32,True,False,False,False,1,5,27,17,4,2,True,False,False,False
ISS_20250613034001_9506,2025-03-27 05:47:00,Sicherheit,"Die Straßenbeleuchtung in der Industriestraße ist seit Monaten kaputt, nachts ist es dort stockdunkel. Als Schichtarbeiter muss ich dort täglich lang und fühle mich sehr unsicher, besonders im Winter wenn ich spät nach Hause gehe.",Straelen,Stadt,Nordrhein-Westfalen,45-54,male,migrant_non_eu,230,35,True,False,False,False,5,3,27,13,3,1,False,False,False,False
ISS_20250613033851_3351,2023-03-04 22:40:00,Bildung,Die Computerausstattung an unserer Berufsschule ist völlig veraltet - die meisten PCs sind über zehn Jahre alt und stürzen ständig ab. Wie sollen wir uns so auf die Digitalisierung in der Arbeitswelt vorbereiten?,Hessisch Oldendorf,Stadt,Niedersachsen,18-24,male,citizen,212,33,False,True,False,False,22,5,4,9,3,1,True,False,False,False
ISS_20250613033818_4102,2023-03-26 06:07:00,Verkehr,"Die Bushaltestelle an der Dorfstraße hat seit Monaten kein Wartehäuschen mehr, nachdem das alte vom Sturm beschädigt wurde. Besonders für ältere Bürger ist das Warten bei Regen und Kälte eine Zumutung.",Byhleguhre-Byhlen,Gemeinde,Brandenburg,45-54,male,citizen,201,31,True,False,False,False,6,6,26,12,3,1,True,False,True,False
ISS_20250613034238_5625,2023-07-06 13:57:00,Bildung,"Die Schulbusse nach Zirkow fallen ständig aus oder kommen zu spät, wodurch meine Kinder regelmäßig Unterricht verpassen. Das ist seit Monaten ein Problem und die Gemeinde unternimmt nichts dagegen.",Zirkow,Gemeinde,Mecklenburg-Vorpommern,35-44,male,citizen,197,29,True,True,False,False,13,3,6,27,7,3,False,True,False,True
ISS_20250613034138_2929,2023-01-05 10:21:00,Verkehr,"Die Parkplätze am Tegernsee sind chronisch überfüllt, besonders am Wochenende parken Touristen wild in Wohngebieten und blockieren Einfahrten. Als Anwohner finde ich oft keinen Parkplatz vor meinem eigenen Haus und muss weit laufen.",Rottach-Egern,Gemeinde,Bayern,45-54,male,citizen,232,33,True,False,False,False,10,3,5,1,1,1,False,True,True,False
ISS_20250613034049_3149,2024-08-18 02:03:00,Digitalisierung,"Das Online-Portal der Stadt für Anträge ist ständig überlastet und stürzt ab, wenn man versucht seinen Personalausweis zu beantragen. Als junger Mensch erwarte ich, dass digitale Behördengänge im Jahr 2024 endlich funktionieren.",Templin,Stadt,Brandenburg,18-24,male,citizen,228,32,False,False,False,False,2,6,18,33,8,3,True,False,False,False
ISS_20250613034255_6846,2024-07-01 12:09:00,Digitalisierung,"Das Online-Portal der Gemeinde ist eine Katastrophe - ständig stürzt es ab und man kann keine Anträge stellen. Warum muss alles digital sein, wenn es nicht funktioniert? Ich brauche einen Termin im Bürgerbüro, aber selbst das geht online nicht.",Nehmten,Gemeinde,Schleswig-Holstein,55-64,male,citizen,244,39,False,False,False,False,12,0,1,27,7,3,False,True,True,True
ISS_20250613034018_2941,2023-08-25 03:04:00,Gesundheit,"Die Wartezeit beim Hausarzt in der Innenstadt beträgt mittlerweile über drei Wochen für einen normalen Termin. Als EU-Bürger habe ich zwar eine Krankenversicherung, aber die Ärztemangel-Situation hier in Naumburg ist wirklich problematisch geworden.",Naumburg,Stadt,Hessen,25-34,male,migrant_eu,249,33,False,False,False,True,3,4,25,34,8,3,False,False,False,False
ISS_20250613034121_8107,2023-06-13 15:55:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Gundelfingen ist viel zu hoch im Vergleich zu Nachbargemeinden. Dadurch siedeln sich keine neuen Unternehmen an und junge Leute wie ich finden hier keine Ausbildungsplätze oder Jobs nach dem Studium.,Gundelfingen a.d.Donau,Stadt,Bayern,18-24,male,citizen,240,36,False,False,False,False,15,1,13,24,6,2,False,True,False,True
ISS_20250613033801_5659,2025-01-18 15:34:00,Wirtschaft,"Die Gewerbesteuer für kleine Betriebe in Simbach ist viel zu hoch im Vergleich zu den Nachbargemeinden. Viele lokale Geschäfte kämpfen ums Überleben, während anderswo die Unternehmen bessere Bedingungen haben und wegziehen.",Simbach,Gemeinde,Bayern,45-54,female,citizen,223,31,False,False,False,False,15,5,18,3,1,1,True,True,False,True
ISS_20250613034042_1252,2023-06-18 10:58:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Laden dauert jetzt schon über zwei Monate - das ist völlig inakzeptabel! Ich verliere täglich Geld, weil ich nicht öffnen kann, während die Bürokratie ewig braucht.",Berghülen,Gemeinde,Baden-Württemberg,45-54,female,citizen,204,31,False,False,False,False,10,6,18,24,6,2,True,True,True,False
ISS_20250613034159_5858,2024-08-17 19:39:00,Verkehr,"Die Baustelle auf der B101 Richtung Berlin dauert jetzt schon drei Monate und es gibt keine Umleitung. Jeden Morgen stehe ich eine Stunde im Stau, weil nur eine Spur frei ist. Wann wird das endlich fertig?",Ludwigsfelde,Stadt,Brandenburg,45-54,male,citizen,205,36,True,False,False,False,19,5,17,33,8,3,True,False,False,False
ISS_20250613033923_2056,2023-01-10 13:47:00,Gesundheit,"Die Wartezeit beim Hausarzt hier in Beilngries ist unmöglich - drei Wochen für einen normalen Termin! Als EU-Bürger habe ich die gleichen Rechte, aber finde trotzdem keinen Arzt, der neue Patienten aufnimmt.",Beilngries,Stadt,Bayern,25-34,male,migrant_eu,207,32,False,False,False,True,13,1,10,2,1,1,False,True,False,True
ISS_20250613033932_7438,2023-05-21 11:03:00,Verkehr,"Die Geschwindigkeitsbegrenzung in der Schulstraße wird täglich von Autofahrern ignoriert, besonders morgens zur Schulzeit. Meine Kinder haben Angst, die Straße zu überqueren, weil viele Autos viel zu schnell fahren.",Langenzenn,Stadt,Bayern,35-44,female,citizen,215,29,True,False,False,False,11,6,21,20,5,2,True,True,True,False
ISS_20250613033648_4186,2024-12-06 11:23:00,Wirtschaft,"Die örtlichen Geschäfte in Siek schließen nach und nach, weil die Mieten zu hoch sind und keine Nachfolger gefunden werden. Unsere Gemeinde verliert dadurch ihre Lebendigkeit und wir müssen immer weiter fahren zum Einkaufen.",Siek,Gemeinde,Schleswig-Holstein,55-64,female,citizen,224,34,False,False,False,False,11,4,6,49,12,4,False,True,True,False
ISS_20250613034005_3533,2023-04-28 09:30:00,Sicherheit,"Die Beleuchtung am Fußweg zwischen Bahnhof und Ortsmitte ist seit einem Monat kaputt. Als junge Frau fühle ich mich abends sehr unsicher, wenn ich von der Arbeit nach Hause laufe, weil der Weg komplett dunkel ist.",Leutenbach,Gemeinde,Baden-Württemberg,18-24,female,citizen,213,36,True,False,False,False,9,4,28,17,4,2,False,True,True,False
ISS_20250613034215_8048,2024-10-23 08:09:00,Digitalisierung,"Die Online-Terminbuchung für die Ausländerbehörde funktioniert seit Wochen nicht richtig - die Seite lädt nicht oder stürzt ab. Für meinen Aufenthaltstitel brauche ich dringend einen Termin, aber telefonisch ist niemand erreichbar.",Rödelsee,Gemeinde,Bayern,35-44,male,migrant_non_eu,231,31,False,False,False,False,8,2,23,43,10,4,False,True,True,False
ISS_20250613034234_2532,2023-05-23 08:35:00,Umwelt,"Die Mülltrennung in unserem Wohngebiet an der Hildesheimer Straße funktioniert überhaupt nicht - die Tonnen stehen wild durcheinander und der Gelbe Sack wird nur alle zwei Wochen abgeholt, obwohl er schon nach einer Woche überquillt.",Laatzen,Stadt,Niedersachsen,35-44,male,citizen,233,35,True,False,True,False,8,1,23,21,5,2,False,True,True,False
ISS_20250613033645_2701,2024-04-12 20:14:00,Gesundheit,Die Wartezeit beim Hausarzt in Ibbenbüren ist unmöglich geworden - drei Wochen für einen normalen Termin! Als junger Berufstätiger kann ich nicht ewig auf wichtige Untersuchungen warten. Wir brauchen dringend mehr Ärzte in der Stadt.,Ibbenbüren,Stadt,Nordrhein-Westfalen,18-24,male,citizen,233,35,False,False,False,True,20,4,12,15,4,2,False,False,False,False
ISS_20250613033730_8882,2023-06-15 20:37:00,Bildung,Die Turnhalle der Grundschule in Charlottenburg ist seit drei Monaten wegen Wasserschädens gesperrt. Mein Sohn hat seitdem keinen Sportunterricht mehr und die Schule kann keinen Ersatzraum organisieren.,Berlin,Stadt,Berlin,45-54,male,citizen,202,27,False,True,False,False,20,3,15,24,6,2,False,False,False,False
ISS_20250613034133_5051,2023-06-08 16:20:00,Wirtschaft,"Die Gewerbesteuer für kleine Betriebe in Weischlitz ist viel zu hoch im Vergleich zu Nachbargemeinden. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze. Bitte senken Sie die Sätze, damit unsere Wirtschaft wieder wachsen kann.",Weischlitz,Gemeinde,Sachsen,45-54,male,citizen,239,34,False,False,False,False,16,3,8,23,6,2,False,True,False,True
ISS_20250613034137_1629,2023-07-21 09:03:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - ständig Fehlermeldungen oder keine freien Termine verfügbar. Für berufstätige Eltern ist es unmöglich, ohne digitale Lösungen rechtzeitig Termine zu bekommen.",Ettenheim,Stadt,Baden-Württemberg,35-44,male,migrant_eu,243,31,False,False,False,False,9,4,21,29,7,3,False,True,True,False
ISS_20250613034256_8614,2024-11-16 18:54:00,Wirtschaft,"Die Jobsuche nach meiner Ausbildung ist hoffnungslos - alle Betriebe hier suchen nur erfahrene Kräfte. Warum unterstützt die Gemeinde nicht mehr junge Unternehmen, die auch Berufsanfängern eine Chance geben würden?",Häuslingen,Gemeinde,Niedersachsen,18-24,male,citizen,214,30,False,False,False,False,18,5,16,46,11,4,True,False,False,True
ISS_20250613033743_5110,2023-10-27 13:14:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung vom Ausländeramt. Meine Kinder warten in der Heimat und ich brauche endlich eine Auskunft über den Stand des Verfahrens.,Ohrdruf,Stadt,Thüringen,35-44,female,citizen,228,32,False,False,False,False,13,4,27,43,10,4,False,True,False,True
ISS_20250613033841_6665,2025-04-20 12:01:00,Bildung,"In der Realschule hier gibt es viel zu wenig Deutschförderung für Schüler wie mich, die aus anderen EU-Ländern kommen. Wir brauchen mehr Unterstützung beim Lernen, sonst schaffen wir den Abschluss nicht.",Seitingen-Oberflacht,Gemeinde,Baden-Württemberg,18-24,male,migrant_eu,203,31,False,True,False,False,12,6,20,16,4,2,True,True,True,True
ISS_20250613034248_4856,2023-09-01 11:30:00,Gesundheit,"Die Wartezeit für einen Facharzttermin beim Orthopäden in Goch beträgt über vier Monate. Meine Rückenschmerzen verschlimmern sich täglich, aber ich bekomme einfach keinen Termin. Das kann doch nicht normal sein in einer Stadt wie Goch.",Goch,Stadt,Nordrhein-Westfalen,35-44,male,citizen,235,35,False,False,False,True,11,4,1,35,9,3,False,True,True,False
ISS_20250613034040_4724,2023-11-26 19:10:00,Gesundheit,"Die Wartezeit beim Hausarzt in Neuendettelsau ist unmöglich geworden - drei Wochen für einen normalen Termin! Für uns Berufstätige ist das nicht machbar, und bei akuten Beschwerden muss man gleich ins Krankenhaus fahren.",Neuendettelsau,Gemeinde,Bayern,45-54,male,citizen,220,33,False,False,False,True,19,6,26,47,11,4,True,False,False,False
ISS_20250613034206_9744,2024-09-28 12:22:00,Gesundheit,"Die Wartezeit für einen Facharzttermin beim Orthopäden hier in Meyenburg beträgt über vier Monate. Meine Rückenschmerzen verschlimmern sich täglich, aber ich bekomme einfach keinen zeitnahen Termin - das kann doch nicht normal sein!",Meyenburg,Stadt,Brandenburg,45-54,female,citizen,232,33,False,False,False,True,12,5,28,39,9,3,True,True,True,True
ISS_20250613033954_7463,2024-11-05 14:39:00,Wirtschaft,"Die neuen Parkgebühren in der Innenstadt sind viel zu hoch und schaden den kleinen Geschäften. Seit der Erhöhung kommen weniger Kunden, weil sie lieber zum Einkaufszentrum außerhalb fahren.",Pockau-Lengefeld,Stadt,Sachsen,35-44,female,citizen,189,28,False,False,False,False,14,1,5,45,11,4,False,True,False,True
ISS_20250613033726_6250,2023-12-25 11:21:00,Umwelt,"Die Firma am Industriegebiet West leitet seit Wochen übelriechende Abwässer in den Bach, der durch unser Wohngebiet fließt. Meine Nachbarn und ich können kaum noch die Fenster öffnen wegen des Gestanks.",Reichenbach an der Fils,Gemeinde,Baden-Württemberg,45-54,male,citizen,202,31,False,False,False,False,11,0,25,52,12,4,False,True,True,False
ISS_20250613033929_7343,2023-07-01 01:32:00,Sicherheit,"Der Fußweg entlang der Förde zwischen Museumsberg und Hafen ist abends völlig unbeleuchtet und sehr unsicher. Als ältere Frau traue ich mich dort nach Einbruch der Dunkelheit nicht mehr lang, obwohl es mein täglicher Spazierweg ist.",Flensburg,Stadt,Schleswig-Holstein,55-64,female,citizen,232,36,False,False,False,False,1,5,1,26,7,3,True,False,False,False
ISS_20250613034152_5344,2023-06-03 07:16:00,Umwelt,"Der Grünstreifen entlang der S-Bahn-Strecke in Oberasbach ist völlig vermüllt. Seit Monaten sammelt sich dort Plastikmüll und Zigarettenstummel, das sieht nicht nur schlimm aus, sondern ist auch schlecht für die Umwelt.",Oberasbach,Stadt,Bayern,18-24,male,citizen,219,31,True,False,True,False,7,5,3,22,6,2,True,False,True,False
ISS_20250613033659_9114,2023-06-16 19:43:00,Bildung,"Die Bushaltestelle bei unserer Berufsschule hat kein Wartehäuschen und bei Regen stehen wir völlig im Nassen. Viele Schüler kommen dann zu spät zum Unterricht oder werden krank, weil der Bus nur alle 30 Minuten fährt.",Frankenstein,Gemeinde,Rheinland-Pfalz,18-24,female,citizen,217,35,True,True,False,False,19,4,16,24,6,2,False,False,False,False
ISS_20250613034127_8608,2024-01-15 09:51:00,Umwelt,"Der Containerplatz an der Zwickauer Straße quillt seit einer Woche über und der Müll liegt überall verstreut rum. Die Anwohner sind sauer, weil es stinkt und die Ratten sich vermehren - wann wird das endlich ordentlich geleert?",Reichenbach im Vogtland,Stadt,Sachsen,35-44,male,citizen,227,37,True,False,True,False,9,0,15,3,1,1,False,True,True,False
ISS_20250613034241_3084,2023-12-24 23:09:00,Verkehr,"Die Bahnhofstraße ist seit der Baustelle eine einzige Schlaglochpiste. Mein Auto hat schon zweimal Schäden an der Achse bekommen, und andere Autofahrer weichen gefährlich in den Gegenverkehr aus, um den schlimmsten Löchern auszuweichen.",Jarmen,Stadt,Mecklenburg-Vorpommern,55-64,male,citizen,236,33,True,False,False,False,23,6,24,51,12,4,True,False,False,False
ISS_20250613033649_5248,2023-11-10 08:00:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - man kann zwar Termine auswählen, aber bekommt keine Bestätigung. Muss ich wirklich extra nach Diepholz fahren, nur um einen simplen Meldezettel zu beantragen?",Schwaförden,Gemeinde,Niedersachsen,25-34,female,citizen,243,34,False,False,False,False,8,4,10,45,11,4,False,True,True,False
ISS_20250613034152_8034,2024-07-30 06:57:00,Wirtschaft,"Die Gewerbesteuer für kleine Betriebe in Steyerberg ist viel zu hoch im Vergleich zu Nachbargemeinden. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze. Bitte senken Sie die Sätze, damit unsere örtliche Wirtschaft wieder wachsen kann.",Steyerberg,Gemeinde,Niedersachsen,25-34,male,citizen,248,35,False,False,False,False,6,1,30,31,7,3,False,False,True,False
ISS_20250613034014_5997,2023-01-03 00:47:00,Digitalisierung,"Die Online-Terminbuchung für den Bürgerservice ist seit drei Wochen außer Betrieb. Ich muss jedes Mal persönlich vorbeikommen und dann ewig warten, weil alle Termine nur noch vor Ort vergeben werden - das kann doch nicht sein!",Gransee,Stadt,Brandenburg,35-44,male,citizen,226,36,False,False,False,False,0,1,3,1,1,1,False,False,False,False
ISS_20250613034202_7261,2025-02-12 02:20:00,Sicherheit,"Die Straßenbeleuchtung zwischen dem Bahnhof und der Ortsmitte ist seit Wochen kaputt. Abends ist es dort stockfinster und als junger Mann fühle ich mich unsicher, wenn ich von der Arbeit nach Hause laufe.",Nußdorf a.Inn,Gemeinde,Bayern,18-24,male,citizen,204,33,True,False,False,False,2,2,12,7,2,1,False,False,False,False
ISS_20250613034238_4669,2023-06-10 12:31:00,Gesundheit,Die Wartezeit beim Hausarzt in Maulburg beträgt mittlerweile über drei Wochen für einen normalen Termin. Als chronisch Kranke bin ich auf regelmäßige Kontrollen angewiesen und finde diese Situation untragbar für unsere kleine Gemeinde.,Maulburg,Gemeinde,Baden-Württemberg,55-64,female,citizen,235,33,False,False,False,True,12,5,10,23,6,2,True,True,True,True
ISS_20250613033809_6457,2023-04-23 07:25:00,Sicherheit,"Am Bahnhof Saerbeck ist abends die Beleuchtung total schlecht und es hängen immer Jugendliche rum, die Leute anpöbeln. Letzte Woche wurde sogar jemand bedroht. Könnt ihr da nicht mehr Licht installieren oder öfter Streife fahren?",Saerbeck,Gemeinde,Nordrhein-Westfalen,18-24,male,citizen,229,35,True,False,False,False,7,6,23,16,4,2,True,False,True,False
ISS_20250613033855_7543,2023-01-26 01:07:00,Verkehr,Seit drei Wochen ist die Straßenbeleuchtung in der Dorfstraße komplett ausgefallen. Abends ist es dort stockdunkel und besonders für Fußgänger mit Kinderwagen sehr gefährlich - man sieht die Schlaglöcher und unebenen Stellen überhaupt nicht.,Schneppenbach,Gemeinde,Rheinland-Pfalz,25-34,female,citizen,241,34,True,False,False,False,1,3,26,4,1,1,False,False,False,False
ISS_20250613033652_6546,2025-03-31 10:45:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Handwerksbetrieb dauert jetzt schon über zwei Monate. Ich kann nicht arbeiten und verliere täglich Aufträge, weil die Bearbeitung so langsam läuft. Das kann doch nicht normal sein!",Alt Zauche-Wußwerk,Gemeinde,Brandenburg,25-34,male,citizen,220,32,False,False,False,False,10,0,31,14,3,1,False,True,True,False
ISS_20250613034258_7235,2025-04-22 14:00:00,Migration,"Die Bearbeitung von Asylanträgen im Landkreis dauert viel zu lange - manche Familien warten über ein Jahr auf eine Entscheidung. Das führt zu Unsicherheit für alle Beteiligten und blockiert die Integration derjenigen, die bleiben dürfen.",Dargun,Stadt,Mecklenburg-Vorpommern,45-54,male,citizen,237,35,False,False,False,False,14,1,22,17,4,2,False,True,False,True
ISS_20250613034056_1219,2025-05-29 10:19:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - man kann keine Termine auswählen und die Seite lädt ewig. Für jede Kleinigkeit muss man dann doch persönlich vorbeikommen, das ist total umständlich.",Ramsau b.Berchtesgaden,Gemeinde,Bayern,25-34,female,citizen,234,34,False,False,False,False,10,3,29,22,5,2,False,True,True,False
ISS_20250613033900_2910,2023-09-23 19:30:00,Umwelt,Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - viele Nachbarn werfen alles zusammen in die Restmülltonne. Das zieht Ungeziefer an und riecht schlecht. Können Sie bitte Kontrollen machen oder besser informieren?,Stolzenau,Gemeinde,Niedersachsen,55-64,male,migrant_non_eu,231,32,False,False,True,False,19,5,23,38,9,3,True,False,False,False
ISS_20250613033651_6201,2024-08-08 12:28:00,Verkehr,"Die Baustelle in der Hauptstraße dauert jetzt schon drei Monate und es gibt keine Umleitung für Fußgänger. Besonders für uns ältere Bürger ist der weite Umweg über die Ingolstädter Straße eine Zumutung, vor allem bei schlechtem Wetter.",Pfaffenhofen a.d.Ilm,Stadt,Bayern,55-64,female,citizen,235,37,True,False,False,False,12,3,8,32,8,3,False,True,True,True
ISS_20250613034039_8469,2023-03-18 06:46:00,Migration,"Die Bearbeitung von Asylanträgen in unserer Gemeinde dauert viel zu lange. Manche Familien warten über ein Jahr auf eine Entscheidung, was für alle Beteiligten belastend ist und die Integration erschwert.",Osburg,Gemeinde,Rheinland-Pfalz,55-64,male,citizen,204,30,False,False,False,False,6,5,18,11,3,1,True,False,True,False
ISS_20250613034224_3357,2024-06-19 07:18:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - man kann zwar Termine auswählen, aber bekommt keine Bestätigung. Telefonisch ist niemand erreichbar, und vor Ort muss man stundenlang warten.",Alsleben (Saale),Stadt,Sachsen-Anhalt,25-34,male,migrant_eu,226,31,False,False,False,False,7,2,19,25,6,2,False,False,True,False
ISS_20250613033736_6169,2025-04-01 11:06:00,Gesundheit,"Die Wartezeit beim Hausarzt in Schmalkalden ist unmöglich geworden - drei Wochen für einen normalen Termin! Für ältere Menschen wie mich ist das untragbar, besonders wenn man regelmäßig Medikamente braucht und Kontrollen hat.",Schmalkalden,Stadt,Thüringen,55-64,female,citizen,225,33,False,False,False,True,11,1,1,14,4,2,False,True,True,False
ISS_20250613034122_7521,2023-12-10 15:24:00,Gesundheit,Die Wartezeit beim Hausarzt in Nellingen ist unmöglich geworden - drei Wochen für einen normalen Termin und im Notfall sitzt man stundenlang im Wartezimmer. Als junger Berufstätiger kann ich mir das zeitlich nicht leisten.,Nellingen,Gemeinde,Baden-Württemberg,18-24,male,citizen,222,34,False,False,False,True,15,6,10,49,12,4,True,True,False,True
ISS_20250613033922_2970,2025-02-23 20:16:00,Digitalisierung,"Das Online-Portal der Gemeinde ist ständig überlastet und stürzt ab, wenn man Formulare ausfüllen will. Für einen einfachen Meldezettel muss ich trotzdem persönlich ins Rathaus, obwohl das digital gehen sollte.",Emtinghausen,Gemeinde,Niedersachsen,25-34,female,citizen,210,30,False,False,False,False,20,6,23,8,2,1,True,False,False,False
ISS_20250613033801_4726,2024-11-30 03:41:00,Digitalisierung,"Das Online-Portal der Stadt ist total veraltet und funktioniert auf dem Handy überhaupt nicht. Ich kann nicht mal einen simplen Antrag stellen, ohne dass die Seite abstürzt - das ist echt peinlich für 2024.",Schmallenberg,Stadt,Nordrhein-Westfalen,18-24,male,citizen,206,34,False,False,False,False,3,5,30,48,11,4,True,False,False,False
